default	既定
admin site	管理サイト
admin	管理者
email address	電子メールアドレス
hands-on	ハンズオン
Django	Django
tutorial 	チュートリアル
test suite	テストスイート
patch	パッチ
community	コミュニティ
branch	ブランチ
commit	コミット
documentation	ドキュメント
coding style	コーディングスタイル
request	リクエスト
metadata	メタデータ
view	ビュー
template	テンプレート
double-curly brace	二重鉤括弧
stability	安定性
backwards-compatibility	後方互換姓
Security	セキュリティ
attribute	属性
database	データベース
reusability	再利用性
packaging	パッケージング
authentication system	認証システム
content types	コンテンツタイプ
framework	フレームワーク
concrete model	完全なモデル
field	フィールド
API	API
developers	開発者
